name,niche,city,state,phone,rating,review_count
Orlando Roofing,roofing,Orlando,FL,+1 321-472-5999,4.9,17
Orlando Roofing Company,roofing,Orlando,FL,+1 407-275-9444,4.7,66
Nashville Roofing Company,roofing,Brentwood,TN,+1 615-800-4355,4.9,79
Southern Roofing Co.,roofing,Nashville,TN,+1 615-320-1045,4.9,100
Houston Roofing Experts,roofing,Houston,TX,+1 713-291-3866,4.9,117
West Florida Roofing,roofing,Tampa,FL,+1 813-819-3712,5.0,122
Prime Roof Repair Tampa,roofing,Tampa,FL,+1 813-723-5093,4.9,135
State Roofing Company,roofing,Houston,TX,+1 281-293-7000,4.9,144
SCM Roofing,roofing,Tampa,FL,+1 855-726-7663,4.9,239
All Over Exterior Roofing,roofing,Houston,TX,+1 281-846-6665,5.0,254
AZ Tech America,hvac,San Antonio,TX,+1 210-818-8932,5.0,43
All About Air Conditioning & Heating,hvac,San Antonio,TX,+1 210-274-1088,5.0,304
Kenny's Air Conditioning & Heating,hvac,Tampa,FL,+1 813-875-3669,4.8,294
ASC Heating & Air Conditioning,hvac,San Antonio,TX,+1 210-761-5130,4.9,532
